timestamp,gpu,util,mem_used,mem_total,power
2026-08-02T18:36:38+09:00,0, 0, 11414, 49140, 206.26
2026-08-02T18:36:38+09:00,1, 0, 5293, 49140, 190.79
2026-08-02T18:37:08+09:00,0, 0, 11414, 49140, 208.15
2026-08-02T18:37:08+09:00,1, 0, 5293, 49140, 214.69
2026-08-02T18:37:38+09:00,0, 59, 11414, 49140, 232.95
2026-08-02T18:37:38+09:00,1, 90, 5293, 49140, 220.88
2026-08-02T18:38:08+09:00,0, 0, 11414, 49140, 131.65
2026-08-02T18:38:08+09:00,1, 0, 5293, 49140, 41.54
2026-08-02T18:38:38+09:00,0, 100, 11414, 49140, 233.62
2026-08-02T18:38:38+09:00,1, 100, 5293, 49140, 216.05
2026-08-02T18:39:08+09:00,0, 0, 11414, 49140, 155.08
2026-08-02T18:39:08+09:00,1, 0, 5293, 49140, 159.52
2026-08-02T18:39:38+09:00,0, 0, 11414, 49140, 117.54
2026-08-02T18:39:38+09:00,1, 0, 5293, 49140, 85.91
2026-08-02T18:40:08+09:00,0, 100, 11414, 49140, 135.88
2026-08-02T18:40:08+09:00,1, 100, 5293, 49140, 137.35
2026-08-02T18:40:38+09:00,0, 0, 11414, 49140, 202.17
2026-08-02T18:40:38+09:00,1, 0, 5293, 49140, 85.27
2026-08-02T18:41:08+09:00,0, 0, 11414, 49140, 157.91
2026-08-02T18:41:08+09:00,1, 0, 5293, 49140, 45.29
2026-08-02T18:41:38+09:00,0, 100, 11414, 49140, 153.22
2026-08-02T18:41:38+09:00,1, 100, 5293, 49140, 160.96
2026-08-02T18:42:08+09:00,0, 100, 11414, 49140, 161.20
2026-08-02T18:42:08+09:00,1, 100, 5293, 49140, 172.63
2026-08-02T18:42:38+09:00,0, 46, 11414, 49140, 127.42
2026-08-02T18:42:38+09:00,1, 77, 5293, 49140, 137.73
2026-08-02T18:43:08+09:00,0, 0, 11414, 49140, 123.38
2026-08-02T18:43:08+09:00,1, 0, 5293, 49140, 135.63
2026-08-02T18:43:38+09:00,0, 100, 11414, 49140, 229.79
2026-08-02T18:43:38+09:00,1, 0, 5293, 49140, 83.39
2026-08-02T18:44:08+09:00,0, 0, 11414, 49140, 79.89
2026-08-02T18:44:08+09:00,1, 100, 5293, 49140, 118.79
2026-08-02T18:44:38+09:00,0, 100, 11414, 49140, 226.01
2026-08-02T18:44:38+09:00,1, 100, 5293, 49140, 231.58
2026-08-02T18:45:08+09:00,0, 100, 11414, 49140, 228.38
2026-08-02T18:45:08+09:00,1, 100, 5293, 49140, 235.13
2026-08-02T18:45:38+09:00,0, 100, 11414, 49140, 229.78
2026-08-02T18:45:38+09:00,1, 100, 5293, 49140, 237.49
2026-08-02T18:46:09+09:00,0, 100, 11414, 49140, 230.20
2026-08-02T18:46:09+09:00,1, 0, 5293, 49140, 237.86
2026-08-02T18:46:39+09:00,0, 43, 11414, 49140, 85.49
2026-08-02T18:46:39+09:00,1, 0, 5293, 49140, 43.13
2026-08-02T18:47:09+09:00,0, 100, 11414, 49140, 108.48
2026-08-02T18:47:09+09:00,1, 88, 5293, 49140, 120.07
2026-08-02T18:47:39+09:00,0, 100, 11414, 49140, 198.14
2026-08-02T18:47:39+09:00,1, 100, 5293, 49140, 199.37
2026-08-02T18:48:09+09:00,0, 100, 11414, 49140, 229.06
2026-08-02T18:48:09+09:00,1, 100, 5293, 49140, 234.72
2026-08-02T18:48:39+09:00,0, 0, 11414, 49140, 238.10
2026-08-02T18:48:39+09:00,1, 26, 5293, 49140, 243.81
2026-08-02T18:49:09+09:00,0, 0, 11414, 49140, 213.68
2026-08-02T18:49:09+09:00,1, 0, 5293, 49140, 198.29
2026-08-02T18:49:39+09:00,0, 100, 11414, 49140, 174.58
2026-08-02T18:49:39+09:00,1, 0, 5293, 49140, 38.92
2026-08-02T18:50:09+09:00,0, 100, 11414, 49140, 229.37
2026-08-02T18:50:09+09:00,1, 100, 5293, 49140, 235.05
2026-08-02T18:50:39+09:00,0, 0, 11414, 49140, 216.80
2026-08-02T18:50:39+09:00,1, 7, 5293, 49140, 225.09
2026-08-02T18:51:09+09:00,0, 0, 11414, 49140, 186.13
2026-08-02T18:51:09+09:00,1, 0, 5293, 49140, 170.14
2026-08-02T18:51:39+09:00,0, 0, 11414, 49140, 144.09
2026-08-02T18:51:39+09:00,1, 0, 5293, 49140, 150.10
2026-08-02T18:52:09+09:00,0, 100, 11414, 49140, 229.94
2026-08-02T18:52:09+09:00,1, 0, 5293, 49140, 83.35
2026-08-02T18:52:39+09:00,0, 0, 11414, 49140, 82.96
2026-08-02T18:52:39+09:00,1, 100, 5293, 49140, 120.06
2026-08-02T18:53:09+09:00,0, 0, 11414, 49140, 148.49
2026-08-02T18:53:09+09:00,1, 0, 5293, 49140, 131.91
2026-08-02T18:53:39+09:00,0, 0, 11414, 49140, 104.53
