#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260803    15:02:46       1    205     71      -      0      0      0      0      0      0   9501   2505      2      0   5297      7      0      -      -      0      0      0 
 20260803    15:03:16       0    141     72      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:03:16       1    163     75      -      0      0      0      0      0      0   9501   2715     40      0   5297      7      0      -      -      0      0      0 
 20260803    15:03:46       0    136     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:03:46       1    149     77      -      0      0      0      0      0      0   9501   2520     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:04:16       0    145     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:04:16       1    157     78      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0   8362      1 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260803    15:04:46       0    153     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0    450 
 20260803    15:04:46       1    165     79      -      0      0      0      0      0      0   9501   2505     42      0   5297      7      0      -      -      0      4      1 
 20260803    15:05:16       0    218     80      -    100     45      0      0      0      0   9501    975     41      0   5992      9      0      -      -      0      0      0 
 20260803    15:05:16       1     41     72      -      0      0      0      0      0      0    405    210     12      0   5297      7      0      -      -      0      0      0 
 20260803    15:05:47       0    141     72      -      0      0      0      0      0      0   9501   2505     31      0   5992      9      0      -      -      0      3      1 
 20260803    15:05:47       1    129     78      -    100     53      0      0      0      0   9501    900     17      0   5297      7      0      -      -      0      3      1 
 20260803    15:06:17       0     83     72      -      0      0      0      0      0      0   9501   1695     40      0   5992      9      0      -      -      0      3      1 
 20260803    15:06:17       1     83     76      -      0      0      0      0      0      0   9501   2505     40      0   5297      7      0      -      -      0      3      1 
 20260803    15:06:47       0    113     72      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      5      1 
 20260803    15:06:47       1    125     78      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      3      1 
 20260803    15:07:17       0    139     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:07:17       1    172     78      -      0      0      0      0      0      0   9501   2505     42      0   5297      7      0      -      -      0      8      1 
 20260803    15:07:47       0    150     78      -    100     46      0      0      0      0   9501    930     40      0   5992      9      0      -      -      0      3      2 
 20260803    15:07:47       1     84     78      -      0      0      0      0      0      0   9501   2505     38      0   5297      7      0      -      -      0      0      0 
 20260803    15:08:17       0    148     73      -     15      1      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      1   5256 
 20260803    15:08:17       1    115     71      -    100      0      0      0      0      0   9501   2730      0      0   5297      7      0      -      -      0     64     18 
 20260803    15:08:47       0    206     78      -    100     45      0      0      0      0   9501    930     31      0   5992      9      0      -      -      0      0      0 
 20260803    15:08:47       1    235     75      -      0      0      0      0      0      0   9501   2505     32      0   5297      7      0      -      -      0      0      0 
 20260803    15:09:17       0    207     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:09:17       1    217     77      -      0      0      0      0      0      0   9501   2505     40      0   5297      7      0      -      -      0      0      0 
 20260803    15:09:47       0    181     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:09:47       1    195     78      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:10:17       0    189     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:10:17       1    202     79      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:10:47       0    172     80      -    100     46      0      0      0      0   9501    900     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:10:47       1     82     75      -      0      0      0      0      0      0   9501   2505     22      0   5297      7      0      -      -      0      0      0 
 20260803    15:11:18       0    195     72      -      0      0      0      0      0      0   9501   2505     32      0   5992      9      0      -      -      0      0      0 
 20260803    15:11:18       1    126     72      -      0      0      0      0      0      0   9501   2505      7      0   5297      7      0      -      -      0      0      0 
 20260803    15:11:48       0    126     77      -    100     47      0      0      0      0   9501    930     40      0   5992      9      0      -      -      0      3      1 
 20260803    15:11:48       1    102     80      -     80     42      0      0      0      0   9501    945     40      0   5297      7      0      -      -      0      4      1 
 20260803    15:12:18       0    145     79      -    100     46      0      0      0      0   9501    945     40      0   5992      9      0      -      -      0      3      1 
 20260803    15:12:18       1    139     82      -    100     47      0      0      0      0   9501    870     41      0   5297      7      0      -      -      0      3      1 
 20260803    15:12:48       0    149     79      -    100     46      0      0      0      0   9501    930     40      0   5992      9      0      -      -      0      3      1 
 20260803    15:12:48       1    143     83      -    100     44      0      0      0      0   9501    855     41      0   5297      7      0      -      -      0      3      1 
 20260803    15:13:18       0    166     80      -    100     45      0      0      0      0   9501    915     40      0   5992      9      0      -      -      0    277   5318 
 20260803    15:13:18       1    158     84      -    100     42      0      0      0      0   9501    885     42      0   5297      7      0      -      -      0      0      0 
 20260803    15:13:48       0    176     73      -      0      0      0      0      0      0   9501   2505     41      0   5992      9      0      -      -      0   7341    376 
 20260803    15:13:48       1     39     71      -      0      0      0      0      0      0    405    210      5      0   5297      7      0      -      -      0      0      0 
